epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.512,3.65332,41.7071,3.147,0.36599,0.28545,0.24431,0.09637,1.07751,1.70985,0.99538,0.00332948,0.00332948,0.00332948
2,598.497,3.50643,4.79349,3.19736,0.36559,0.3694,0.28734,0.13447,1.04149,1.76375,0.95627,0.00659685,0.00659685,0.00659685
3,882.276,3.78427,4.1757,3.44168,0.37105,0.38413,0.32896,0.15416,1.09085,6.01118,1.08163,0.00979822,0.00979822,0.00979822
4,1164.73,3.66979,3.66217,3.4076,0.50488,0.55784,0.48537,0.17821,1.08635,1.19531,1.00886,0.009703,0.009703,0.009703
5,1462.77,3.41275,3.0907,3.19037,0.68883,0.56168,0.64837,0.32307,0.91045,2.20829,0.88936,0.009604,0.009604,0.009604
6,1755.22,3.22814,2.84711,3.04672,0.6425,0.58955,0.64367,0.31276,0.92898,1.02573,0.88619,0.009505,0.009505,0.009505
7,2039.46,3.09491,2.59221,2.94621,0.62511,0.71269,0.73817,0.42396,0.92398,3.04872,0.8665,0.009406,0.009406,0.009406
8,2329.19,3.02985,2.34894,2.87558,0.7036,0.66875,0.75519,0.44629,0.88388,0.82077,0.82472,0.009307,0.009307,0.009307
9,2618.8,2.87374,2.27153,2.7603,0.70801,0.72575,0.77297,0.43349,0.89399,4.52954,0.8425,0.009208,0.009208,0.009208
10,2897.08,2.86791,2.16027,2.7281,0.73582,0.64925,0.76803,0.4436,0.8608,0.75126,0.81764,0.009109,0.009109,0.009109
11,3175.95,2.83545,2.10572,2.72386,0.70557,0.77347,0.79743,0.49261,0.776,0.68662,0.78029,0.00901,0.00901,0.00901
12,3455.28,2.82274,2.04573,2.71973,0.70416,0.72388,0.79115,0.48332,0.78472,0.60416,0.76605,0.008911,0.008911,0.008911
13,3734.04,2.82993,1.98165,2.69767,0.76649,0.77774,0.85449,0.54209,0.77625,0.69795,0.76168,0.008812,0.008812,0.008812
14,4018.5,2.74847,1.89773,2.61941,0.76854,0.81771,0.8728,0.57544,0.73209,0.5885,0.71517,0.008713,0.008713,0.008713
15,4304.3,2.6707,1.84553,2.58834,0.75476,0.82681,0.86874,0.55204,0.76224,0.5405,0.74254,0.008614,0.008614,0.008614
16,4593.02,2.6716,1.7803,2.57901,0.77044,0.78918,0.84779,0.54847,0.79511,0.67957,0.75739,0.008515,0.008515,0.008515
17,4876.74,2.68474,1.78102,2.57371,0.82175,0.80849,0.90543,0.58138,0.74728,0.52304,0.73034,0.008416,0.008416,0.008416
18,5157,2.67784,1.77624,2.56822,0.80753,0.84515,0.90973,0.57152,0.75212,0.51092,0.72837,0.008317,0.008317,0.008317
19,5436.94,2.58213,1.73529,2.55111,0.81109,0.86509,0.90939,0.61211,0.74248,0.5134,0.7191,0.008218,0.008218,0.008218
20,5717.28,2.61061,1.71499,2.55447,0.82367,0.8806,0.91838,0.61523,0.68392,0.47342,0.69369,0.008119,0.008119,0.008119
21,5997.68,2.60875,1.66242,2.53103,0.81124,0.86754,0.91538,0.62109,0.70307,0.47014,0.69536,0.00802,0.00802,0.00802
22,6278.68,2.63949,1.6817,2.58211,0.76911,0.87006,0.90527,0.62068,0.69144,0.49085,0.69532,0.007921,0.007921,0.007921
23,6559,2.57362,1.64528,2.52179,0.82664,0.84328,0.91103,0.59627,0.73813,0.46423,0.72823,0.007822,0.007822,0.007822
24,6838.72,2.50626,1.60765,2.46487,0.84993,0.86754,0.93585,0.64713,0.68332,0.43762,0.68254,0.007723,0.007723,0.007723
25,7119.3,2.57196,1.55592,2.50099,0.86335,0.86047,0.92104,0.62564,0.68962,0.44838,0.69001,0.007624,0.007624,0.007624
26,7399.34,2.48698,1.58555,2.46919,0.83991,0.88619,0.93399,0.63577,0.70365,0.41847,0.69938,0.007525,0.007525,0.007525
27,7679.48,2.52716,1.52437,2.48708,0.86379,0.83022,0.92771,0.62976,0.72327,0.53027,0.70169,0.007426,0.007426,0.007426
28,7959.4,2.44486,1.50857,2.44207,0.84792,0.88806,0.93452,0.63406,0.72693,0.40719,0.70001,0.007327,0.007327,0.007327
29,8248.47,2.45334,1.52477,2.42094,0.84885,0.86963,0.92214,0.64104,0.69711,0.45816,0.68044,0.007228,0.007228,0.007228
30,8562.24,2.45545,1.49759,2.45151,0.81877,0.90299,0.92701,0.63725,0.67324,0.52264,0.66785,0.007129,0.007129,0.007129
31,8874.8,2.44197,1.46093,2.39844,0.86161,0.90299,0.94748,0.64854,0.68827,0.44453,0.67731,0.00703,0.00703,0.00703
32,9195.66,2.37332,1.48331,2.4336,0.88477,0.89179,0.95357,0.66581,0.67829,0.44057,0.67681,0.006931,0.006931,0.006931
33,9509.81,2.38575,1.44751,2.41297,0.85823,0.89739,0.93627,0.65054,0.69125,0.43954,0.67177,0.006832,0.006832,0.006832
34,9806.54,2.41367,1.45357,2.40592,0.86106,0.91342,0.95287,0.67279,0.66026,0.37315,0.65902,0.006733,0.006733,0.006733
35,10093.9,2.3874,1.42253,2.39835,0.89891,0.90858,0.96084,0.67399,0.66298,0.38427,0.6601,0.006634,0.006634,0.006634
36,10381.2,2.3733,1.43109,2.40075,0.85371,0.93633,0.94696,0.66108,0.66302,0.45768,0.66071,0.006535,0.006535,0.006535
37,10673.1,2.34948,1.3601,2.37534,0.85675,0.91045,0.947,0.65341,0.68956,0.38019,0.67032,0.006436,0.006436,0.006436
38,10982.5,2.38352,1.41043,2.38296,0.88951,0.89552,0.94874,0.6597,0.67408,0.47483,0.66427,0.006337,0.006337,0.006337
39,11279,2.31369,1.35174,2.34267,0.85144,0.92537,0.95072,0.67564,0.67402,0.41107,0.66367,0.006238,0.006238,0.006238
40,11570,2.37348,1.35255,2.3677,0.87791,0.93905,0.96084,0.67216,0.66368,0.42207,0.66165,0.006139,0.006139,0.006139
41,11858,2.3411,1.35696,2.3622,0.89533,0.91978,0.96016,0.67648,0.66285,0.3705,0.66025,0.00604,0.00604,0.00604
42,12147.8,2.32724,1.34568,2.35231,0.89602,0.91791,0.96219,0.67174,0.657,0.35876,0.66478,0.005941,0.005941,0.005941
43,12433.6,2.32403,1.30531,2.34682,0.90525,0.92691,0.96793,0.67243,0.67357,0.43833,0.66419,0.005842,0.005842,0.005842
44,12716.1,2.26751,1.30341,2.30268,0.87445,0.94855,0.96526,0.67878,0.67853,0.33161,0.66578,0.005743,0.005743,0.005743
45,12996.5,2.32724,1.34491,2.35592,0.9008,0.91791,0.96511,0.68532,0.66529,0.33847,0.66757,0.005644,0.005644,0.005644
46,13277.4,2.32267,1.34378,2.34737,0.89891,0.92902,0.96161,0.67714,0.67239,0.35574,0.67021,0.005545,0.005545,0.005545
47,13558.2,2.28947,1.25961,2.31416,0.91154,0.91978,0.96185,0.67878,0.66335,0.37915,0.66501,0.005446,0.005446,0.005446
48,13839.1,2.24564,1.2731,2.33943,0.91425,0.93284,0.96943,0.69001,0.65872,0.32168,0.65961,0.005347,0.005347,0.005347
49,14120.3,2.24982,1.25629,2.33505,0.90873,0.94216,0.9709,0.69267,0.65658,0.3309,0.65628,0.005248,0.005248,0.005248
50,14401,2.26765,1.22352,2.31615,0.90366,0.9347,0.96979,0.69705,0.65824,0.35314,0.65415,0.005149,0.005149,0.005149
51,14680.9,2.22664,1.26374,2.28895,0.90536,0.92811,0.96687,0.693,0.65692,0.34219,0.65205,0.00505,0.00505,0.00505
52,14961.8,2.23406,1.25927,2.31984,0.90699,0.92787,0.96646,0.69231,0.65808,0.34919,0.65223,0.004951,0.004951,0.004951
53,15242.8,2.18151,1.22833,2.28609,0.90646,0.9347,0.96578,0.69834,0.6517,0.3442,0.65258,0.004852,0.004852,0.004852
54,15523.9,2.20906,1.20309,2.26314,0.90404,0.95336,0.96529,0.68971,0.65544,0.33334,0.65314,0.004753,0.004753,0.004753
55,15804.6,2.18053,1.18677,2.28477,0.89918,0.9484,0.96789,0.69374,0.66098,0.32876,0.6539,0.004654,0.004654,0.004654
56,16085,2.17831,1.17379,2.2648,0.90445,0.93603,0.96478,0.6946,0.66374,0.33168,0.65719,0.004555,0.004555,0.004555
57,16365.9,2.1724,1.17612,2.2587,0.91501,0.91604,0.96618,0.68902,0.66723,0.3353,0.65821,0.004456,0.004456,0.004456
58,16646.2,2.12353,1.15948,2.22507,0.92166,0.92189,0.96869,0.69143,0.66954,0.33227,0.65813,0.004357,0.004357,0.004357
59,16926.8,2.11636,1.14299,2.23324,0.93291,0.90796,0.97125,0.69486,0.66342,0.33286,0.65721,0.004258,0.004258,0.004258
60,17207.2,2.0938,1.1405,2.23174,0.92753,0.90743,0.97086,0.69528,0.66048,0.33569,0.65544,0.004159,0.004159,0.004159
61,17487.9,2.11338,1.11227,2.23221,0.94506,0.90112,0.97067,0.69487,0.65906,0.33126,0.65339,0.00406,0.00406,0.00406
62,17769,2.18368,1.18292,2.27086,0.92694,0.92309,0.97263,0.70038,0.65348,0.32433,0.65035,0.003961,0.003961,0.003961
63,18049.9,2.17014,1.19223,2.2339,0.95155,0.90299,0.97439,0.70078,0.65275,0.32662,0.64985,0.003862,0.003862,0.003862
64,18330.6,2.02816,1.09557,2.1981,0.94399,0.91191,0.97252,0.69859,0.65699,0.32026,0.65018,0.003763,0.003763,0.003763
65,18610.7,2.03234,1.11819,2.18028,0.94042,0.91282,0.97237,0.6971,0.66136,0.32447,0.65177,0.003664,0.003664,0.003664
66,18891.8,2.10662,1.0834,2.20403,0.9254,0.92569,0.97229,0.69985,0.65714,0.32649,0.65115,0.003565,0.003565,0.003565
67,19172.4,2.08089,1.09369,2.18563,0.94593,0.91398,0.96972,0.70095,0.65709,0.32361,0.65156,0.003466,0.003466,0.003466
68,19453,2.07404,1.1042,2.20002,0.94767,0.91215,0.96972,0.7009,0.65997,0.32406,0.65217,0.003367,0.003367,0.003367
69,19733.9,2.05852,1.10454,2.21501,0.94703,0.91791,0.97,0.70379,0.65816,0.32361,0.65182,0.003268,0.003268,0.003268
70,20014.7,2.04309,1.0672,2.17335,0.93891,0.91755,0.97142,0.70269,0.65994,0.32345,0.652,0.003169,0.003169,0.003169
